CustomerID,Lookalikes
C0001,"[['C0091', 0.891], ['C0118', 0.8679], ['C0112', 0.8635]]"
C0002,"[['C0134', 0.958], ['C0159', 0.9131], ['C0106', 0.9111]]"
C0003,"[['C0031', 0.9591], ['C0195', 0.9149], ['C0129', 0.9047]]"
C0004,"[['C0113', 0.9565], ['C0104', 0.9078], ['C0075', 0.8989]]"
C0005,"[['C0007', 0.9603], ['C0197', 0.8491], ['C0199', 0.8063]]"
C0006,"[['C0187', 0.9194], ['C0185', 0.8104], ['C0171', 0.7714]]"
C0007,"[['C0005', 0.9603], ['C0140', 0.831], ['C0120', 0.7943]]"
C0008,"[['C0194', 0.9049], ['C0154', 0.8974], ['C0181', 0.895]]"
C0009,"[['C0010', 0.8345], ['C0077', 0.8278], ['C0062', 0.8194]]"
C0010,"[['C0061', 0.9104], ['C0062', 0.8688], ['C0009', 0.8345]]"
C0011,"[['C0153', 0.9324], ['C0126', 0.9269], ['C0174', 0.8932]]"
C0012,"[['C0065', 0.9523], ['C0136', 0.924], ['C0059', 0.8823]]"
C0013,"[['C0105', 0.915], ['C0028', 0.8919], ['C0016', 0.8846]]"
C0014,"[['C0151', 0.915], ['C0097', 0.892], ['C0033', 0.8382]]"
C0015,"[['C0036', 0.8615], ['C0123', 0.8273], ['C0144', 0.8003]]"
C0016,"[['C0183', 0.9998], ['C0067', 0.9233], ['C0072', 0.8953]]"
C0017,"[['C0075', 0.9695], ['C0081', 0.9421], ['C0090', 0.9237]]"
C0018,"[['C0117', 0.8634], ['C0057', 0.8504], ['C0087', 0.834]]"
C0019,"[['C0174', 0.8704], ['C0191', 0.8608], ['C0070', 0.844]]"
C0020,"[['C0078', 0.791], ['C0110', 0.79], ['C0080', 0.7711]]"
